Date,Open,High,Low,Close,Adj Close,Volume
2023-12-05,4.800000,4.880000,4.700000,4.770000,4.741996,66024
2023-12-06,4.780000,4.830000,4.740000,4.810000,4.781761,98747
2023-12-07,4.830000,4.990000,4.810000,4.990000,4.960704,129742
2023-12-08,5.000000,5.175000,4.960000,5.150000,5.119765,277144
2023-12-11,5.070000,5.350000,5.070000,5.350000,5.318591,323429
2023-12-12,5.350000,5.450000,5.150000,5.170000,5.139648,178534
2023-12-13,5.150000,5.320000,5.110000,5.150000,5.119765,129115
2023-12-14,5.300000,5.460000,5.300000,5.430000,5.398121,160199
2023-12-15,5.400000,5.420000,5.300000,5.420000,5.388180,255163
2023-12-18,5.410000,5.440000,5.230000,5.440000,5.408063,186764
2023-12-19,5.460000,5.530000,5.340000,5.390000,5.358356,137285
2023-12-20,5.300000,5.400000,5.280000,5.360000,5.328533,77919
2023-12-21,5.320000,5.320000,5.110000,5.180000,5.149589,66323
2023-12-22,5.190000,5.400000,5.190000,5.360000,5.328533,101982
2023-12-27,5.260000,5.390000,5.250000,5.370000,5.338474,32917
2023-12-28,5.390000,5.500000,5.330000,5.420000,5.388180,116290
2023-12-29,5.420000,5.480000,5.270000,5.410000,5.378239,34487
2024-01-02,5.390000,5.500000,5.330000,5.490000,5.457769,53660
2024-01-03,5.480000,5.480000,5.220000,5.220000,5.189354,92373
2024-01-04,5.100000,5.280000,5.050000,5.280000,5.249002,82610
2024-01-05,5.210000,5.360000,5.210000,5.300000,5.268885,70949
2024-01-08,5.300000,5.310000,5.070000,5.120000,5.089942,73822
2024-01-09,5.120000,5.320000,5.120000,5.260000,5.229120,60632
2024-01-10,5.300000,5.300000,5.210000,5.300000,5.268885,87148
2024-01-11,5.300000,5.360000,5.195000,5.310000,5.278826,72952
2024-01-12,5.180000,5.270000,5.080000,5.110000,5.080000,59359
2024-01-15,5.110000,5.120000,5.050000,5.100000,5.070059,13299
2024-01-16,5.050000,5.230000,5.050000,5.200000,5.169472,49508
2024-01-17,5.180000,5.180000,5.010000,5.180000,5.149589,133017
2024-01-18,5.020000,5.270000,5.020000,5.100000,5.070059,137500
2024-01-19,5.100000,5.300000,5.100000,5.260000,5.229120,77826
2024-01-22,5.260000,5.380000,5.240000,5.380000,5.348415,134734
2024-01-23,5.330000,5.480000,5.260000,5.450000,5.418004,127241
2024-01-24,5.450000,5.700000,5.410000,5.700000,5.666536,183552
2024-01-25,5.750000,5.780000,5.510000,5.630000,5.596947,79895
2024-01-29,5.640000,5.650000,5.370000,5.410000,5.378239,111555
2024-01-30,5.370000,5.610000,5.370000,5.600000,5.567123,50938
2024-01-31,5.600000,5.600000,5.300000,5.400000,5.368298,173134
2024-02-01,5.340000,5.480000,5.260000,5.330000,5.298708,176401
2024-02-02,5.260000,5.550000,5.260000,5.490000,5.457769,63093
2024-02-05,5.490000,5.500000,5.370000,5.420000,5.388180,51370
2024-02-06,5.370000,5.600000,5.340000,5.540000,5.507476,84647
2024-02-07,5.500000,5.580000,5.440000,5.460000,5.427945,56748
2024-02-08,5.450000,5.550000,5.280000,5.290000,5.258944,106581
2024-02-09,5.280000,5.440000,5.080000,5.350000,5.318591,114992
2024-02-12,5.290000,5.350000,5.040000,5.160000,5.129706,83400
2024-02-13,5.070000,5.180000,5.040000,5.120000,5.089942,82502
2024-02-14,5.080000,5.080000,4.900000,4.960000,4.930881,129854
2024-02-15,4.960000,5.100000,4.960000,5.030000,5.000470,110475
2024-02-16,5.050000,5.140000,4.960000,4.960000,4.930881,114645
2024-02-19,4.950000,4.990000,4.700000,4.900000,4.871233,193153
2024-02-20,4.860000,4.980000,4.800000,4.830000,4.801644,59968
2024-02-21,4.710000,5.040000,4.710000,5.000000,4.970646,145011
2024-02-22,5.010000,5.010000,4.730000,4.900000,4.871233,143745
2024-02-23,4.950000,5.420000,4.950000,5.350000,5.318591,203681
2024-02-26,5.310000,5.350000,5.190000,5.260000,5.229120,95444
2024-02-27,5.250000,5.290000,5.020000,5.170000,5.139648,53272
2024-02-28,5.190000,5.190000,4.980000,5.150000,5.119765,101967
2024-02-29,5.110000,5.350000,5.110000,5.340000,5.308650,60853
2024-03-01,5.200000,5.290000,5.090000,5.110000,5.080000,58035
2024-03-04,5.100000,5.200000,4.940000,4.980000,4.980000,112608
2024-03-05,4.980000,4.980000,4.800000,4.820000,4.820000,143563
2024-03-06,4.820000,4.830000,4.580000,4.740000,4.740000,216824
2024-03-07,4.790000,4.890000,4.750000,4.820000,4.820000,71787
2024-03-08,4.800000,4.890000,4.740000,4.800000,4.800000,68016
2024-03-11,4.710000,4.770000,4.600000,4.700000,4.700000,86755
2024-03-12,4.700000,4.770000,4.640000,4.770000,4.770000,57259
2024-03-13,4.780000,4.790000,4.715000,4.790000,4.790000,88123
